"year","area.occupied","D75","D95","Gini"
"1970",3.73007142857143,4.737,7.885,0.828289622175413
"1971",1.34575,1.653,2.214,0.950081603049244
"1972",1.106,1.154,1.154,0.913412088957462
"1973",2.74475,1.875,5.178,0.886886511411714
"1974",3.54080952380952,2.116,3.46,0.893408543398567
"1975",0.59575,2.383,2.383,0.9047409657819
"1977",1.01533333333333,0.226,0.459,0.95868551873037
"1978",0.787,3.148,3.148,0.874160537256156
"1979",11.3210833333333,6.798,14.918,0.73498040441328
"1980",10.3839428571429,6.184,12.859,0.781856942088819
"1981",13.7304642857143,8.991,17.393,0.695081017755782
"1982",16.3967857142857,8.617,15.679,0.720616953507993
"1983",14.8449,9.006,13.428,0.705915796837251
"1984",18.0761285714286,9.487,17.953,0.731372712707912
"1985",12.0886357142857,4.19,14.76,0.779458795730778
"1986",16.7837738095238,10.233,18.336,0.703814953912399
"1987",17.0648928571429,9.566,22.24,0.693730934148727
"1988",12.2902071428571,9.265,15.787,0.694668169449141
"1989",15.5470773809524,12.626,23.455,0.586863563135713
"1990",10.5226583333333,9.529,18.686,0.703602108040702
"1991",7.95878849206349,5.622,11.374,0.793898456715106
"1992",9.94909761904762,8.345,18.246,0.712221598565556
"1993",13.4023293650794,9.268,17.706,0.716806232980996
"1994",17.9423571428571,11.036,18.231,0.675240124495228
"1995",17.6525738095238,11.267,18.706,0.65613621759907
"1996",19.7926107142857,5.109,17.611,0.766848096858344
"1997",17.8134730769231,10.065,20.043,0.672733441503548
"1998",16.0424432539683,14.201,24.316,0.601774064742757
"1999",17.353094047619,12.758,20.666,0.651126197551344
"2000",16.3061995670996,10.407,18.696,0.670393184097805
"2001",19.3256285714286,7.393,18.367,0.702149057893816
"2002",18.153245995671,11.036,19.708,0.67277282393618
"2003",14.9674995670996,9.678,19.212,0.675166418537901
"2004",14.8651511904762,13.345,19.403,0.619186028904235
"2005",13.3752027777778,9.558,18.879,0.667195985891246
"2006",13.1518876623377,8.936,18.666,0.711945856741766
"2007",16.2297523809524,12.312,19.83,0.629951381628744
"2008",15.319725,7.787,18.411,0.727970738925565
"2009",17.9187011904762,11.613,23.19,0.690833212493474
"2010",16.9554,10.264,23.036,0.691688796080167
"2011",18.4327380952381,16.256,26.316,0.555467117430302
"2012",14.0026880952381,10.78,17.661,0.68782368530187
"2013",19.3313027056277,12.813,20.946,0.596991698233181
"2014",20.2286391774892,17.143,25.839,0.536384745772813
"2015",21.1663531746032,15.379,23.832,0.597711426737834
"2016",21.7748626984127,11.612,22.178,0.65501726564142
"2017",20.4687761904762,14.846,23.056,0.555093430334205
"2018",16.8736547619048,7.781,17.435,0.449237134049424
"2019",22.1459611111111,15.371,24.416,0.584500720431182
"2020",23.567930952381,11.769,23.343,0.62333397123979
