"lengths","lf.1970","lf.1977","lf.1984","lf.1991","lf.1998","lf.2005"
4,0,0,0,0,0,0
7,0.0254237288135593,0.000966183574879227,0.000565610859728507,0.0158590308370044,0.00317124735729387,0.00209706411024566
10,0.0169491525423729,0.000483091787439614,0.00282805429864253,0.152422907488987,0.00211416490486258,0.0194727381665668
13,0,0.00289855072463768,0.00509049773755656,0.0154185022026432,0.00422832980972516,0.0170760934691432
16,0.00847457627118644,0.0111111111111111,0.0271493212669683,0.0237885462555066,0.0306553911205074,0.0239664469742361
19,0.177966101694915,0.0400966183574879,0.0361990950226244,0.0775330396475771,0.0433403805496829,0.0596165368484122
22,0.152542372881356,0.0270531400966184,0.0345022624434389,0.0669603524229075,0.0528541226215645,0.0874775314559617
25,0.135593220338983,0.0497584541062802,0.0497737556561086,0.0572687224669604,0.109936575052854,0.105751947273817
28,0.076271186440678,0.110628019323672,0.152714932126697,0.12511013215859,0.22093023255814,0.187837028160575
31,0.101694915254237,0.160386473429952,0.195135746606335,0.15374449339207,0.215644820295983,0.220491312162972
34,0.127118644067797,0.184541062801932,0.199095022624434,0.132599118942731,0.16384778012685,0.152186938286399
37,0.0593220338983051,0.147342995169082,0.131221719457014,0.0894273127753304,0.0919661733615222,0.0805871779508688
40,0.0593220338983051,0.128019323671498,0.100113122171946,0.0550660792951542,0.040169133192389,0.0269622528460156
43,0.0169491525423729,0.0647342995169082,0.0373303167420814,0.0246696035242291,0.0179704016913319,0.0116836428999401
46,0.0254237288135593,0.0328502415458937,0.0192307692307692,0.0079295154185022,0.00211416490486258,0.00419412822049131
49,0.0169491525423729,0.0256038647342995,0.00622171945701357,0.0013215859030837,0.00105708245243129,0.000599161174355902
52,0,0.00772946859903382,0.00113122171945701,0.000440528634361233,0,0
55,0,0.00338164251207729,0.00113122171945701,0.000440528634361233,0,0
58,0,0.000483091787439614,0,0,0,0
61,0,0.000966183574879227,0.000565610859728507,0,0,0
64,0,0.000966183574879227,0,0,0,0
67,0,0,0,0,0,0
