"lengths","lf.1970","lf.1977","lf.1984","lf.1991","lf.1998","lf.2005"
4,0,0,0,0,0,0
7,0,0,0,0,0.00130718954248366,0
10,0,0.011014948859166,0.0141414141414141,0.0182648401826484,0.0418300653594771,0.0379377431906615
13,0.00794912559618442,0.00629425649095201,0.0161616161616162,0.0334855403348554,0.0248366013071895,0.0466926070038911
16,0.0135135135135135,0.011014948859166,0.0242424242424242,0.0426179604261796,0.0235294117647059,0.0282101167315175
19,0.0222575516693164,0.010228166797797,0.0262626262626263,0.0319634703196347,0.0366013071895425,0.0321011673151751
22,0.0286168521462639,0.017309205350118,0.0343434343434343,0.0350076103500761,0.0418300653594771,0.0593385214007782
25,0.041335453100159,0.028324154209284,0.0707070707070707,0.0715372907153729,0.0562091503267974,0.0651750972762646
28,0.0461049284578696,0.029897718332022,0.0606060606060606,0.0654490106544901,0.0562091503267974,0.0671206225680934
31,0.0651828298887122,0.037765538945712,0.0767676767676768,0.0776255707762557,0.0509803921568627,0.0622568093385214
34,0.0461049284578696,0.044846577498033,0.0626262626262626,0.0791476407914764,0.0679738562091503,0.0671206225680934
37,0.0468998410174881,0.0535011801730921,0.0545454545454545,0.0654490106544901,0.065359477124183,0.0817120622568093
40,0.0691573926868044,0.0542879622344611,0.0828282828282828,0.0745814307458143,0.077124183006536,0.0826848249027237
43,0.0771065182829889,0.0676632572777341,0.0585858585858586,0.0745814307458143,0.0705882352941176,0.061284046692607
46,0.0969793322734499,0.0983477576711251,0.094949494949495,0.0730593607305936,0.065359477124183,0.051556420233463
49,0.128775834658188,0.151062155782848,0.0727272727272727,0.0837138508371385,0.101960784313725,0.071011673151751
52,0.13751987281399,0.168371361132966,0.139393939393939,0.0974124809741248,0.118954248366013,0.0953307392996109
55,0.0969793322734499,0.112509834775767,0.0606060606060606,0.0410958904109589,0.073202614379085,0.0583657587548638
58,0.0492845786963434,0.0590086546026751,0.0181818181818182,0.0319634703196347,0.0209150326797386,0.0204280155642023
61,0.0206677265500795,0.032258064516129,0.0282828282828283,0.0030441400304414,0.00522875816993464,0.00778210116731518
64,0.00238473767885533,0.002360346184107,0.00404040404040404,0,0,0.00291828793774319
67,0.000794912559618442,0,0,0,0,0
70,0.000794912559618442,0,0,0,0,0
73,0.000794912559618442,0,0,0,0,0.000972762645914397
76,0,0,0,0,0,0
79,0.000794912559618442,0,0,0,0,0
82,0,0.000786782061369001,0,0,0,0
85,0,0,0,0,0,0
88,0,0,0,0,0,0
91,0,0.002360346184107,0,0,0,0
94,0,0.000786782061369001,0,0,0,0
