"MISSION","SETNO","STRAT","YEAR","MONTH","DAY","SCIEN","FSHNO","FLEN","CLEN","FWT","pred.wgt","condition"
"ATC1970175",2,"493",1970,7,6,"MALACORAJA SENTA",1,22,1,35,47.5902026501009,0.735445491949924
"ATC1970175",10,"492",1970,7,8,"MALACORAJA SENTA",2,58,1,1000,925.299191440839,1.08073151824854
"ATC1970175",10,"492",1970,7,8,"MALACORAJA SENTA",3,52,1,600,662.380808138945,0.905823346068535
"ATC1970175",10,"492",1970,7,8,"MALACORAJA SENTA",4,53,1,650,702.152208810914,0.925725208642108
"ATC1970175",10,"492",1970,7,8,"MALACORAJA SENTA",5,42,1,350,344.486924191229,1.01600373024815
"ATC1970175",10,"492",1970,7,8,"MALACORAJA SENTA",6,41,1,300,319.989976712483,0.937529366019971
"ATC1970175",10,"492",1970,7,8,"MALACORAJA SENTA",7,22,1,50,47.5902026501009,1.05063641707132
"ATC1970175",10,"492",1970,7,8,"MALACORAJA SENTA",8,19,1,25,30.3819967386441,0.822855726536283
"ATC1970175",15,"484",1970,7,8,"MALACORAJA SENTA",14,53,1,850,702.152208810914,1.21056373437814
"ATC1970175",15,"484",1970,7,8,"MALACORAJA SENTA",15,50,1,525,587.443311707977,0.893703255338077
"ATC1970175",15,"484",1970,7,8,"MALACORAJA SENTA",16,56,1,950,831.055841388191,1.14312414724518
"ATC1970175",15,"484",1970,7,8,"MALACORAJA SENTA",17,52,1,750,662.380808138945,1.13227918258567
"ATC1970175",15,"484",1970,7,8,"MALACORAJA SENTA",18,53,1,750,702.152208810914,1.06814447151012
"ATC1970175",15,"484",1970,7,8,"MALACORAJA SENTA",19,42,1,425,344.486924191229,1.23371881530133
"ATC1970175",15,"484",1970,7,8,"MALACORAJA SENTA",20,52,1,600,662.380808138945,0.905823346068535
"ATC1970175",15,"484",1970,7,8,"MALACORAJA SENTA",21,51,1,800,624.155016552927,1.28173286889245
"ATC1970175",15,"484",1970,7,8,"MALACORAJA SENTA",22,57,1,850,877.325634153411,0.968853487132199
"ATC1970175",15,"484",1970,7,8,"MALACORAJA SENTA",23,13,1,NA,9.5083633618983,NA
"ATC1970175",15,"484",1970,7,8,"MALACORAJA SENTA",24,18,1,50,25.7476099334879,1.94192781889899
"ATC1970175",21,"483",1970,7,10,"MALACORAJA SENTA",25,51,1,400,624.155016552927,0.640866434446227
"ATC1971188",3,"492",1971,6,29,"MALACORAJA SENTA",1,50,1,475,587.443311707977,0.808588659591594
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",2,44,1,700,397.208505459777,1.76229861742194
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",3,46,1,600,455.108250374951,1.31836766199179
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",4,53,1,900,702.152208810914,1.28177336581215
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",5,50,1,900,587.443311707977,1.5320627234367
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",6,40,1,400,296.694097793688,1.34818994706847
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",7,48,1,775,518.436262491275,1.49487999985927
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",8,48,1,750,518.436262491275,1.44665806437994
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",9,47,1,600,486.078065214972,1.23436962689243
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",10,46,1,650,455.108250374951,1.42823163382444
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",11,50,1,700,587.443311707977,1.19160434045077
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",12,49,1,600,552.214209043276,1.08653488116417
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",13,46,1,600,455.108250374951,1.31836766199179
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",14,57,1,1775,877.325634153411,2.02319404665841
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",15,47,1,625,486.078065214972,1.28580169467962
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",16,48,1,750,518.436262491275,1.44665806437994
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",17,43,1,625,370.216049052335,1.68820341959743
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",18,51,1,825,624.155016552927,1.32178702104534
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",19,39,1,400,274.568224991876,1.45683281454668
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",20,43,1,575,370.216049052335,1.55314714602963
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",21,51,1,725,624.155016552927,1.16157041243379
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",22,49,1,700,552.214209043276,1.26762402802486
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",23,38,1,450,253.581343331705,1.77457850048283
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",24,23,1,NA,54.5272660715218,NA
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",25,46,1,650,455.108250374951,1.42823163382444
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",26,50,1,750,587.443311707977,1.27671893619725
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",27,47,1,675,486.078065214972,1.38866583025399
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",28,16,1,25,17.9535718814418,1.39248056960977
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",29,23,1,75,54.5272660715218,1.37545865405437
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",30,22,1,NA,47.5902026501009,NA
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",31,12,1,NA,7.44206399578758,NA
"ATC1971188",4,"494",1971,6,30,"MALACORAJA SENTA",32,13,1,NA,9.5083633618983,NA
"ATC1971188",22,"480",1971,7,3,"MALACORAJA SENTA",33,52,1,800,662.380808138945,1.20776446142471
"ATC1971188",22,"480",1971,7,3,"MALACORAJA SENTA",34,48,1,800,518.436262491275,1.54310193533861
"ATC1971188",22,"480",1971,7,3,"MALACORAJA SENTA",35,50,1,800,587.443311707977,1.36183353194374
"ATC1971188",22,"480",1971,7,3,"MALACORAJA SENTA",36,51,1,800,624.155016552927,1.28173286889245
"ATC1971188",23,"480",1971,7,3,"MALACORAJA SENTA",37,53,1,800,702.152208810914,1.13935410294413
"ATC1971188",23,"480",1971,7,3,"MALACORAJA SENTA",38,47,1,650,486.078065214972,1.3372337624668
"ATC1971188",23,"480",1971,7,3,"MALACORAJA SENTA",39,48,1,550,518.436262491275,1.06088258054529
"ATC1971188",23,"480",1971,7,3,"MALACORAJA SENTA",40,51,1,750,624.155016552927,1.20162456458668
"ATC1971188",23,"480",1971,7,3,"MALACORAJA SENTA",41,44,1,450,397.208505459777,1.13290625405696
"ATC1971188",30,"477",1971,7,6,"MALACORAJA SENTA",42,49,1,650,552.214209043276,1.17707945459451
"ATC1971188",31,"475",1971,7,6,"MALACORAJA SENTA",43,45,1,350,425.495491928067,0.822570407065958
"ATC1971188",31,"475",1971,7,6,"MALACORAJA SENTA",NA,45,1,NA,425.495491928067,NA
"ATC1971188",40,"471",1971,7,7,"MALACORAJA SENTA",44,46,1,400,455.108250374951,0.878911774661195
