"MISSION","SETNO","STRAT","YEAR","MONTH","DAY","SCIEN","FSHNO","FLEN","CLEN","FWT","pred.wgt","condition"
"ATC1970175",24,"480",1970,7,10,"LEUCORAJA OCELLATA",1,82,1,6900,4333.57457119561,1.5922190530337
"ATC1970175",29,"481",1970,7,11,"LEUCORAJA OCELLATA",2,95,1,8800,7036.13566359616,1.25068651611278
"ATC1970175",29,"481",1970,7,11,"LEUCORAJA OCELLATA",3,85,1,6700,4878.00078919767,1.37351351292053
"ATC1970175",29,"481",1970,7,11,"LEUCORAJA OCELLATA",4,86,1,6500,5069.57293670752,1.28215928267549
"ATC1970175",38,"476",1970,7,12,"LEUCORAJA OCELLATA",5,81,1,5000,4161.93855710847,1.20136324248712
"ATC1970175",42,"476",1970,7,12,"LEUCORAJA OCELLATA",NA,64,1,NA,1915.80871095808,NA
"ATC1970175",64,"465",1970,7,15,"LEUCORAJA OCELLATA",6,94,1,8800,6795.1338046386,1.29504440280378
"ATC1970176",4,"464",1970,7,20,"LEUCORAJA OCELLATA",1,105,1,8400,9783.38749734913,0.858598312933637
"ATC1970176",12,"458",1970,7,21,"LEUCORAJA OCELLATA",2,120,1,9700,15187.5172564269,0.638682401884694
"ATC1970176",12,"458",1970,7,21,"LEUCORAJA OCELLATA",3,92,1,8000,6330.47746424457,1.26372774331559
"ATC1970176",21,"455",1970,7,22,"LEUCORAJA OCELLATA",5,81,1,6100,4161.93855710847,1.46566315583429
"ATC1970176",22,"455",1970,7,23,"LEUCORAJA OCELLATA",6,96,1,7500,7283.02664730838,1.02979164613819
"ATC1970176",22,"455",1970,7,23,"LEUCORAJA OCELLATA",7,104,1,10500,9479.85132825235,1.10761230703137
"ATC1970176",22,"455",1970,7,23,"LEUCORAJA OCELLATA",8,103,1,9700,9182.93577449978,1.05630707196451
"ATC1970176",22,"455",1970,7,23,"LEUCORAJA OCELLATA",9,89,1,8400,5675.66800200301,1.48000200100421
"ATC1970176",22,"455",1970,7,23,"LEUCORAJA OCELLATA",10,88,1,7700,5468.32840165334,1.40810855428359
"ATC1970176",22,"455",1970,7,23,"LEUCORAJA OCELLATA",11,55,1,1050,1163.00537921493,0.902833313383975
"ATC1970176",22,"455",1970,7,23,"LEUCORAJA OCELLATA",12,53,1,1100,1029.4363286914,1.06854593076028
"ATC1970176",31,"456",1970,7,24,"LEUCORAJA OCELLATA",13,100,1,8400,8331.09169471469,1.008271221565
"ATC1970176",31,"456",1970,7,24,"LEUCORAJA OCELLATA",14,90,1,8000,5888.42014015977,1.35859870892007
"ATC1970176",31,"456",1970,7,24,"LEUCORAJA OCELLATA",15,101,1,10000,8608.63783414567,1.16162396335638
"ATC1970176",31,"456",1970,7,24,"LEUCORAJA OCELLATA",16,89,1,6900,5675.66800200301,1.21571592939631
"ATC1970176",31,"456",1970,7,24,"LEUCORAJA OCELLATA",17,94,1,8300,6795.1338046386,1.22146233446266
"ATC1970176",31,"456",1970,7,24,"LEUCORAJA OCELLATA",18,89,1,6000,5675.66800200301,1.05714428643158
"ATC1970176",31,"456",1970,7,24,"LEUCORAJA OCELLATA",19,99,1,8100,8059.83866823337,1.00498289524391
"ATC1970176",31,"456",1970,7,24,"LEUCORAJA OCELLATA",20,101,1,9100,8608.63783414567,1.05707780665431
"ATC1970176",31,"456",1970,7,24,"LEUCORAJA OCELLATA",21,86,1,7500,5069.57293670752,1.47941455693326
"ATC1970176",31,"456",1970,7,24,"LEUCORAJA OCELLATA",22,85,1,6700,4878.00078919767,1.37351351292053
"ATC1970176",31,"456",1970,7,24,"LEUCORAJA OCELLATA",23,103,1,8900,9182.93577449978,0.969188962936508
"ATC1970176",32,"452",1970,7,24,"LEUCORAJA OCELLATA",24,102,1,7000,8892.55860787174,0.787175019999707
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",25,116,1,10750,13582.9928171975,0.791430883066462
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",26,106,1,9000,10093.6267424151,0.891651755080314
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",27,98,1,8000,7794.79747229159,1.0263255752876
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",28,102,1,10000,8892.55860787174,1.12453574285672
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",29,103,1,8000,9182.93577449978,0.871181090280007
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",30,106,1,8500,10093.6267424151,0.842115546464741
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",31,94,1,7500,6795.1338046386,1.10373102511686
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",32,107,1,8000,10410.6517549144,0.768443723633686
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",33,99,1,7500,8059.83866823337,0.930539717818436
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",34,99,1,9000,8059.83866823337,1.11664766138212
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",35,104,1,8250,9479.85132825235,0.870266812667506
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",36,107,1,9250,10410.6517549144,0.88851305545145
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",37,103,1,9000,9182.93577449978,0.980078726565008
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",38,104,1,10250,9479.85132825235,1.08124058543539
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",39,94,1,7500,6795.1338046386,1.10373102511686
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",40,107,1,10500,10410.6517549144,1.00858238726921
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",41,95,1,7500,7036.13566359616,1.06592600805067
"ATC1970176",49,"447",1970,7,27,"LEUCORAJA OCELLATA",42,112,1,11000,12100.4734968188,0.909055335966141
