"year","area.occupied","D75","D95","Gini"
"1970",9.93329047619048,6.002,14.983,0.802309928987399
"1971",6.67458333333333,5.348,10.496,0.794180628667061
"1972",7.68484761904762,5.881,14.067,0.803599855159612
"1973",5.05995,5.277,9.127,0.828063309218995
"1974",6.52215714285714,4.523,10.365,0.828211584066305
"1975",7.21766666666667,7.383,10.355,0.811583147707371
"1976",9.39953333333333,9.32,18.263,0.715742092430551
"1977",11.1992047619048,8.546,17.502,0.699715867310863
"1978",9.25941666666667,5.539,11.797,0.823954746224734
"1979",5.69613571428571,1.872,5.446,0.910836303862419
"1980",7.48587857142857,6.143,12.403,0.773632288049701
"1981",5.72692857142857,3.454,10.138,0.870517486928553
"1982",8.8507619047619,3.303,12.532,0.839856173655875
"1983",6.33907857142857,3.07,12.013,0.856547737160691
"1984",6.7785119047619,2.673,7.774,0.876070250106124
"1985",7.06749523809524,5.916,12.859,0.778226750272571
"1986",4.28515238095238,5.026,7.651,0.871350382826852
"1987",4.37194047619048,2.8,9.502,0.875427133210508
"1988",6.23931904761905,6.009,13.099,0.807696647881395
"1989",7.10962738095238,4.255,12.131,0.85021938547498
"1990",8.89353888888889,7.037,14.893,0.804414648794482
"1991",8.15395952380952,8.377,12.759,0.760973029719122
"1992",8.72360238095238,5.576,14.77,0.797703697318525
"1993",6.20168253968254,5.422,10.624,0.843624984279794
"1994",7.08652619047619,6.833,14.448,0.800686185658615
"1995",10.3825226190476,6.018,16.116,0.779163755619456
"1996",8.35097619047619,4.08,13.158,0.823965865483223
"1997",10.7244016483516,6.228,14.816,0.781983161859248
"1998",9.51473928571429,6.409,15.745,0.789267553766171
"1999",8.20706298701299,5.674,12.142,0.823170954648376
"2000",10.7827217171717,9.045,22.986,0.729344858840345
"2001",9.71273084415584,4.856,14.165,0.820403574310073
"2002",8.36964707792208,5.856,10.8,0.806473747604245
"2003",8.42045937950938,9.072,15.736,0.712394154507865
"2004",11.7367694444444,8.573,21.945,0.728758668849731
"2005",10.2930246031746,8.539,16.911,0.742807786200827
"2006",10.1901351731602,6.712,17.221,0.789675409753448
"2007",11.0219571428571,6.894,13.659,0.783771422693151
"2008",11.4616083333333,5.041,14.425,0.785902196042193
"2009",10.7345873015873,7.634,18.938,0.746143882670487
"2010",12.894719047619,5.887,17.691,0.796643218197429
"2011",11.7041285714286,10.121,16.62,0.732188180233205
"2012",8.87011904761905,3.905,14.493,0.82841770385083
"2013",8.97958917748918,6.279,14.896,0.79074495236391
"2014",6.9325987012987,4.783,10.613,0.835681192177975
"2015",8.63998333333333,3.321,8.022,0.856423253481706
"2016",8.59455476190476,3.751,10.403,0.837348071735686
"2017",9.75274523809524,5.27,11.05,0.817215099759254
"2018",4.01243333333333,1.185,4.146,0.854263710170214
"2019",7.43199285714286,7.781,13.53,0.782670355225641
"2020",7.46366666666667,4.837,12.023,0.810848562342252
