"MISSION","SETNO","STRAT","YEAR","MONTH","DAY","SCIEN","FSHNO","FLEN","CLEN","FWT","pred.wgt","condition"
"ATC1970175",53,"461",1970,7,14,"LOPHIUS AMERICANUS",16,80,1,6500,7847.83628911168,0.828253770917506
"ATC1970175",53,"461",1970,7,14,"LOPHIUS AMERICANUS",17,34,1,575,661.241547523549,0.869576332814329
"ATC1970175",57,"466",1970,7,14,"LOPHIUS AMERICANUS",18,67,1,5300,4699.87326087618,1.12768998349797
"ATC1970175",59,"464",1970,7,15,"LOPHIUS AMERICANUS",19,36,1,900,780.062263698766,1.15375405513469
"ATC1970175",60,"464",1970,7,15,"LOPHIUS AMERICANUS",20,37,1,700,844.36829002144,0.82902213201567
"ATC1970175",60,"464",1970,7,15,"LOPHIUS AMERICANUS",21,110,1,15400,19706.3496157177,0.781474007124944
"ATC1970175",65,"461",1970,7,15,"LOPHIUS AMERICANUS",22,78,1,NA,7293.91064199097,NA
"ATC1970175",65,"461",1970,7,15,"LOPHIUS AMERICANUS",23,100,1,NA,14960.0485383685,NA
"ATC1970175",67,"461",1970,7,15,"LOPHIUS AMERICANUS",24,68,1,4800,4905.55597512965,0.978482362516135
"ATC1970175",67,"461",1970,7,15,"LOPHIUS AMERICANUS",25,35,1,625,719.047213716458,0.869205787989405
"ATC1970176",2,"462",1970,7,20,"LOPHIUS AMERICANUS",1,56,1,3300,2798.35263908759,1.17926524123707
"ATC1970176",2,"462",1970,7,20,"LOPHIUS AMERICANUS",2,83,1,8700,8729.19556741725,0.996655411464692
"ATC1970176",2,"462",1970,7,20,"LOPHIUS AMERICANUS",3,62,1,5600,3755.80148006908,1.49102662366942
"ATC1970176",2,"462",1970,7,20,"LOPHIUS AMERICANUS",4,63,1,4200,3933.62491401881,1.06771745954523
"ATC1970176",2,"462",1970,7,20,"LOPHIUS AMERICANUS",5,62,1,5400,3755.80148006908,1.43777567282408
"ATC1970176",3,"464",1970,7,20,"LOPHIUS AMERICANUS",6,97,1,14000,13698.9686663427,1.02197474430297
"ATC1970176",7,"456",1970,7,21,"LOPHIUS AMERICANUS",7,27,1,325,339.555265877201,0.957134324394591
"ATC1970176",7,"456",1970,7,21,"LOPHIUS AMERICANUS",8,24,1,375,241.557188382961,1.55242740864114
"ATC1970176",10,"459",1970,7,21,"LOPHIUS AMERICANUS",9,54,1,3000,2519.06034889817,1.19092025775095
"ATC1970176",10,"459",1970,7,21,"LOPHIUS AMERICANUS",10,81,1,10000,8134.81863781254,1.22928370566464
"ATC1970176",10,"459",1970,7,21,"LOPHIUS AMERICANUS",11,78,1,6500,7293.91064199097,0.891154322974505
"ATC1970176",10,"459",1970,7,21,"LOPHIUS AMERICANUS",12,42,1,1425,1218.10196262806,1.16985280684185
"ATC1970176",11,"458",1970,7,21,"LOPHIUS AMERICANUS",13,85,1,6900,9351.28521952517,0.73786648979469
"ATC1970176",11,"458",1970,7,21,"LOPHIUS AMERICANUS",14,25,1,375,271.817114951064,1.37960407705568
"ATC1970176",12,"458",1970,7,21,"LOPHIUS AMERICANUS",15,99,1,12000,14531.6061824633,0.82578621036961
"ATC1970176",21,"455",1970,7,22,"LOPHIUS AMERICANUS",22,54,1,2500,2519.06034889817,0.99243354812579
"ATC1970176",21,"455",1970,7,22,"LOPHIUS AMERICANUS",23,51,1,2400,2135.35180578082,1.12393657733715
"ATC1970176",28,"453",1970,7,23,"LOPHIUS AMERICANUS",24,51,1,2000,2135.35180578082,0.936613814447625
"ATC1970176",29,"454",1970,7,23,"LOPHIUS AMERICANUS",25,40,1,925,1057.84450097657,0.87441963270222
"ATC1970176",30,"454",1970,7,24,"LOPHIUS AMERICANUS",26,39,1,900,983.17841746391,0.915398450590009
"ATC1970176",31,"456",1970,7,24,"LOPHIUS AMERICANUS",27,49,1,2300,1902.12045936285,1.20917683666072
"ATC1970176",34,"450",1970,7,24,"LOPHIUS AMERICANUS",28,78,1,2500,7293.91064199097,0.342751662682502
"ATC1970176",38,"448",1970,7,25,"LOPHIUS AMERICANUS",29,69,1,7800,5117.03928850215,1.52431895872412
"ATC1971188",52,"461",1971,7,8,"LOPHIUS AMERICANUS",11,44,1,1300,1393.46162693548,0.932928453048956
"ATC1971188",52,"461",1971,7,8,"LOPHIUS AMERICANUS",12,41,1,1150,1136.12553917269,1.01221208427143
"ATC1971189",2,"461",1971,7,12,"LOPHIUS AMERICANUS",NA,79,1,NA,7567.55853641007,NA
"ATC1971189",6,"463",1971,7,12,"LOPHIUS AMERICANUS",NA,85,1,NA,9351.28521952517,NA
"ATC1971189",7,"463",1971,7,13,"LOPHIUS AMERICANUS",NA,40,1,NA,1057.84450097657,NA
"ATC1971189",7,"463",1971,7,13,"LOPHIUS AMERICANUS",NA,61,1,NA,3583.32026327667,NA
"ATC1971189",8,"465",1971,7,13,"LOPHIUS AMERICANUS",NA,70,1,NA,5334.39915997032,NA
"ATC1971189",9,"466",1971,7,13,"LOPHIUS AMERICANUS",NA,73,1,NA,6022.49592817758,NA
