"scientificname","englishname","frenchname","speciesnumber","numberofrecords","category","ordername","familyname"
"Agonidae",NA,NA,351,NA,"Scorpaeniformes",32,"Actinopterygii"
"Alosa pseudoharengus","Alewife","Gaspareau",62,"Gaspareau","Clupeiformes",735,"Actinopterygii"
"Alosa sapidissima","American shad","Alose savoureuse",61,"Alose savoureuse","Clupeiformes",308,"Actinopterygii"
"Amblyraja radiata",NA,NA,201,"Raie épineuse","Rajiformes",3644,"Chondrichthyes"
"Ammodytes dubius",NA,NA,610,"Lançon","Perciformes",934,"Actinopterygii"
"Anarhichas denticulatus","Northern wolffish","Loup gélatineux",52,"Loup gélatineux","Perciformes",16,"Actinopterygii"
"Anarhichas lupus","Atlantic wolffish","Loup atlantique",50,"Loup atlantique","Perciformes",1421,"Actinopterygii"
"Anarhichas minor","Spotted wolffish","Loup tacheté",51,"Loup tacheté","Perciformes",20,"Actinopterygii"
"Arctozenus risso","Spotted barracudina","Barracudine pintade",712,"Barracudine pintade","Aulopiformes",138,"Actinopterygii"
"Argentina silus","Greater argentine",NA,160,"Grande argentine","Osmeriformes",893,"Actinopterygii"
"Artediellus",NA,NA,323,NA,"Scorpaeniformes",55,"Actinopterygii"
"Artediellus atlanticus",NA,NA,880,NA,"Scorpaeniformes",209,"Actinopterygii"
"Artediellus uncinatus",NA,NA,306,NA,"Scorpaeniformes",301,"Actinopterygii"
"Aspidophoroides monopterygius",NA,NA,340,"Poisson-alligator atlantique","Scorpaeniformes",862,"Actinopterygii"
"Brosme brosme","Tusk(=Cusk)","Brosme",15,"Brosme","Gadiformes",656,"Actinopterygii"
"Cancer borealis","Jonah crab","Tourteau jona",2511,"Tourteau jona","Decapoda",776,"Malacostraca"
"Cancer irroratus","Atlantic rock crab","Tourteau poïnclos",2513,"Tourteau poïnclos","Decapoda",426,"Malacostraca"
"Careproctus reinhardti",NA,NA,520,NA,"Scorpaeniformes",17,"Actinopterygii"
"Centroscyllium fabricii","Black dogfish","Aiguillat noir",221,"Aiguillat noir","Squaliformes",27,"Chondrichthyes"
"Chaceon quinquedens",NA,NA,2532,NA,"Decapoda",21,"Malacostraca"
