"Myxine glutinosa","Atlantic hagfish","Myxine du nord",241,586,"Myxini","Myxiniformes","Myxinidae","I","Myxini"
"Petromyzon marinus","Sea lamprey","Lamproie marine",240,14,"Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","LR","Cephalaspidomorphi"
"Nemichthys scolopaceus","Slender snipe eel","Avocette ruban",604,17,"Actinopterygii","Anguilliformes","Nemichthyidae","LR","Actinopterygii"
"Chlorophthalmus agassizi","Shortnose greeneye","Éperlan du large",156,50,"Actinopterygii","Aulopiformes","Chlorophthalmidae","LR","Actinopterygii"
"Parasudis truculenta","Longnose greeneye","Oeil-vert à long nez",149,30,"Actinopterygii","Aulopiformes","Chlorophthalmidae","LR","Actinopterygii"
"Arctozenus risso","White barracudina","Lussion blanc",712,138,"Actinopterygii","Aulopiformes","Paralepididae","LR","Actinopterygii"
"Scomberesox saurus","Atlantic saury","Balaou atlantique",720,26,"Actinopterygii","Beloniformes","Scomberesocidae","LR","Actinopterygii"
"Clupea harengus","Atlantic herring","Hareng de l'Atlantique",60,2569,"Actinopterygii","Clupeiformes","Clupeidae","L","Actinopterygii"
"Alosa pseudoharengus","Alewife","Gaspareau",62,735,"Actinopterygii","Clupeiformes","Clupeidae","I","Actinopterygii"
"Alosa sapidissima","American shad","Alose savoureuse",61,308,"Actinopterygii","Clupeiformes","Clupeidae","I","Actinopterygii"
"Gadus morhua","Atlantic cod","Morue franche",10,4826,"Actinopterygii","Gadiformes","Gadidae","L","Actinopterygii"
"Melanogrammus aeglefinus","Haddock","Aiglefin",11,4662,"Actinopterygii","Gadiformes","Gadidae","L","Actinopterygii"
"Urophycis tenuis","White hake","Merluche blanche",12,2955,"Actinopterygii","Gadiformes","Gadidae","L","Actinopterygii"
"Pollachius virens","Pollock","Goberge",16,2301,"Actinopterygii","Gadiformes","Gadidae","L","Actinopterygii"
"Urophycis chuss","Red hake","Merluche écureuil",13,1566,"Actinopterygii","Gadiformes","Gadidae","L","Actinopterygii"
"Phycis chesteri","Longfin hake","Merluche à longues nageoires",112,706,"Actinopterygii","Gadiformes","Gadidae","I","Actinopterygii"
"Brosme brosme","Cusk","Brosme",15,656,"Actinopterygii","Gadiformes","Gadidae","I","Actinopterygii"
"Enchelyopus cimbrius","Fourbeard rockling","Motelle à quatre barbillons",114,561,"Actinopterygii","Gadiformes","Gadidae","I","Actinopterygii"
"Microgadus tomcod","Atlantic tomcod","Poulamon atlantique",17,30,"Actinopterygii","Gadiformes","Gadidae","LR","Actinopterygii"
"Nezumia bairdii","Marlin-spike grenadier","Grenadier du Grand Banc",410,471,"Actinopterygii","Gadiformes","Macrouridae","I","Actinopterygii"
"Trachyrincus murrayi","Roughnose grenadier","Grenadier-scie",412,18,"Actinopterygii","Gadiformes","Macrouridae","LR","Actinopterygii"
"Coryphaenoides rupestris","Roundnose grenadier","Grenadier de roche",414,16,"Actinopterygii","Gadiformes","Macrouridae","LR","Actinopterygii"
"Merluccius bilinearis","Silver hake","Merlu argenté",14,3814,"Actinopterygii","Gadiformes","Merlucciidae","L","Actinopterygii"
"Merluccius albidus","Offshore silver hake","Merlu argenté du large",19,151,"Actinopterygii","Gadiformes","Merlucciidae","LR","Actinopterygii"
"Lophius americanus","Monkfish","Baudroie d'Amérique",400,1656,"Actinopterygii","Lophiiformes","Lophiidae","L","Actinopterygii"
"Dibranchus atlanticus","Atlantic batfish","Malthe atlantique",742,12,"Actinopterygii","Lophiiformes","Ogcocephalidae","LR","Actinopterygii"
"Myctophidae","Lanternfishes","Poissons-lanternes",150,119,"Actinopterygii","Myctophiformes","Myctophidae","LR","Actinopterygii"
"Argentina silus","Greater argentine","Grande argentine",160,893,"Actinopterygii","Osmeriformes","Argentinidae","I","Actinopterygii"
"Mallotus villosus","Capelin","Capelan",64,498,"Actinopterygii","Osmeriformes","Osmeridae","I","Actinopterygii"
"Osmerus mordax","Rainbow smelt","Éperlan arc-en-ciel",63,46,"Actinopterygii","Osmeriformes","Osmeridae","LR","Actinopterygii"
"Ammodytes dubius","Sand lance","Lançon",610,934,"Actinopterygii","Perciformes","Ammodytidae","I","Actinopterygii"
"Anarhichas lupus","Atlantic wolffish","Loup atlantique",50,1421,"Actinopterygii","Perciformes","Anarhichadidae","L","Actinopterygii"
"Anarhichas minor","Spotted wolffish","Loup tacheté",51,20,"Actinopterygii","Perciformes","Anarhichadidae","LR","Actinopterygii"
"Anarhichas denticulatus","Northern wolffish","Loup à tête large",52,16,"Actinopterygii","Perciformes","Anarhichadidae","LR","Actinopterygii"
"Foetorepus agassizii","Spotfin dragonet","Dragonnet tacheté",637,12,"Actinopterygii","Perciformes","Callionymidae","LR","Actinopterygii"
