"Myxine glutinosa","Hagfish","Myxine du nord",241,586,"Myxini","Myxiniformes","Myxinidae","I",101170
"Petromyzon marinus","Sea lamprey","Lamproie marine",240,14,"Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","LR",101174
"Nemichthys scolopaceus","Slender snipe eel","Avocette ruban",604,17,"Actinopterygii","Anguilliformes","Nemichthyidae","LR",126306
"Chlorophthalmus agassizi","Shortnose greeneye","Éperlan du large",156,50,"Actinopterygii","Aulopiformes","Chlorophthalmidae","LR",126336
"Parasudis truculenta","Longnose greeneye","Oeil-vert à long nez",149,30,"Actinopterygii","Aulopiformes","Chlorophthalmidae","LR",158868
"Arctozenus risso","White barracudina","Lussion blanc",712,138,"Actinopterygii","Aulopiformes","Paralepididae","LR",126352
"Scomberesox saurus","Atlantic saury","Balaou atlantique",720,26,"Actinopterygii","Beloniformes","Scomberesocidae","LR",126392
"Clupea harengus","Atlantic herring","Hareng de l'Atlantique",60,2569,"Actinopterygii","Clupeiformes","Clupeidae","L",126417
"Alosa pseudoharengus","Alewife","Gaspareau",62,735,"Actinopterygii","Clupeiformes","Clupeidae","I",158669
"Alosa sapidissima","American shad","Alose savoureuse",61,308,"Actinopterygii","Clupeiformes","Clupeidae","I",158670
"Gadus morhua","Atlantic cod","Morue franche",10,4826,"Actinopterygii","Gadiformes","Gadidae","L",126436
"Melanogrammus aeglefinus","Haddock","Aiglefin",11,4662,"Actinopterygii","Gadiformes","Gadidae","L",126437
"Urophycis tenuis","White hake","Merluche blanche",12,2955,"Actinopterygii","Gadiformes","Gadidae","L",126504
"Pollachius virens","Pollock","Goberge",16,2301,"Actinopterygii","Gadiformes","Gadidae","L",126441
"Urophycis chuss","Red hake","Merluche écureuil",13,1566,"Actinopterygii","Gadiformes","Gadidae","L",126503
"Phycis chesteri","Longfin hake","Merluche à longues nageoires",112,706,"Actinopterygii","Gadiformes","Gadidae","I",158988
"Brosme brosme","Cusk","Brosme",15,656,"Actinopterygii","Gadiformes","Gadidae","I",126447
"Enchelyopus cimbrius","Fourbeard rockling","Motelle à quatre barbillons",114,561,"Actinopterygii","Gadiformes","Gadidae","I",126450
"Microgadus tomcod","Atlantic tomcod","Poulamon atlantique",17,30,"Actinopterygii","Gadiformes","Gadidae","LR",158928
"Nezumia bairdii","Marlin-spike grenadier","Grenadier du Grand Banc",410,471,"Actinopterygii","Gadiformes","Macrouridae","I",183289
"Trachyrincus murrayi","Roughnose grenadier","Grenadier-scie",412,18,"Actinopterygii","Gadiformes","Macrouridae","LR",126481
