40,"HIPPOGLOSSOIDES PLATESSOIDES","American plaice","Plie canadienne","L","Pleuronectiformes","Pleuronectidae"
10,"GADUS MORHUA","Atlantic cod","Morue de l'Atlantique","L","Gadiformes","Gadidae"
11,"MELANOGRAMMUS AEGLEFINUS","Haddock","Aiglefin","L","Gadiformes","Gadidae"
4511,"ILLEX ILLECEBROSUS","Northern shortfin squid","Encornet rouge nordique","L","Teuthida","Ommastrephidae"
14,"MERLUCCIUS BILINEARIS","Silver hake","Merlu argent\'{e}","L","Gadiformes","Merlucciidae"
201,"RAJA RADIATA","Thorny skate","Raie \'{e}pineuse","L","Rajiformes","Rajidae"
41,"GLYPTOCEPHALUS CYNOGLOSSUS","Witch flounder","Plie cynoglosse","L","Pleuronectiformes","Pleuronectidae"
23,"SEBASTES SP.","Atlantic redfishes","S\'{e}bastes de l'Atlantique","L","Scorpaeniformes","Scorpaenidae"
12,"UROPHYCIS TENUIS","White hake","Merluche blanche","L","Gadiformes","Gadidae"
42,"LIMANDA FERRUGINEA","Yellowtail flounder","Limande \`{a} queue jaune","L","Pleuronectiformes","Pleuronectidae"
300,"MYOXOCEPHALUS OCTODECEMSPINOSUS","Longhorn sculpin",NA,"L","Scorpaeniformes","Cottidae"
60,"CLUPEA HARENGUS","Atlantic herring","Hareng de l'Atlantique","L","Clupeiformes","Clupeidae"
16,"POLLACHIUS VIRENS","Saithe(=Pollock)","Lieu noir","L","Gadiformes","Gadidae"
320,"HEMITRIPTERUS AMERICANUS","Sea raven","H\'{e}mitript\`{e}re atlantique","L","Scorpaeniformes","Hemitripteridae"
400,"LOPHIUS AMERICANUS","American angler","Baudroie d'Am\'{e}rique","L","Lophiiformes","Lophiidae"
220,"SQUALUS ACANTHIAS","Picked dogfish","Aiguillat commun","L","Squaliformes","Squalidae"
13,"UROPHYCIS CHUSS","Red hake","Merluche \'{e}cureuil","L","Gadiformes","Gadidae"
202,"RAJA SENTA","Smooth skate","Raie lisse","L","Rajiformes","Rajidae"
50,"ANARHICHAS LUPUS","Atlantic wolffish","Loup atlantique","L","Perciformes","Anarhichadidae"
640,"MACROZOARCES AMERICANUS","Ocean pout","Loquette d'Am\'{e}rique","L","Perciformes","Zoarcidae"
43,"PSEUDOPLEURONECTES AMERICANUS","Winter flounder","Limande-plie rouge","L","Pleuronectiformes","Pleuronectidae"
30,"HIPPOGLOSSUS HIPPOGLOSSUS","Atlantic halibut","Fl\'{e}tan de l'Atlantique","L","Pleuronectiformes","Pleuronectidae"
2526,"CHIONOECETES OPILIO","Queen crab","Crabe des neiges","S","Decapoda","Oregoniidae"
204,"RAJA OCELLATA","Winter skate","Raie tachet\'{e}e","L","Rajiformes","Rajidae"
304,"TRIGLOPS MURRAYI","Moustache sculpin","Faux-trigle arm\'{e}","L","Scorpaeniformes","Cottidae"
2550,"HOMARUS AMERICANUS","American lobster","Homard am\'{e}ricain","S","Decapoda","Nephropidae"
610,"AMMODYTES DUBIUS","Sand lance","Lan\c{c}on","I","Perciformes","Ammodytidae"
