Functional group,common name,scientific name
Decapod,American lobster,Homarus americanus
Decapod,Atlantic rock crab,Cancer irroratus
Decapod,Jonah crab,Cancer borealis
Squid,Shortfin squid,Illex illecebrosus
Non-commercial indicator,Longhorn sculpin,Myoxocephalus octodecemspinosus
Planktivore,Alewife,Alosa pseudoharengus
Planktivore,American shad,Alosa sapidissima
Planktivore,Atlantic argentine,Argentina silus
Planktivore,Atlantic herring,Clupea harengus
Planktivore,Atlantic mackerel,Scomber scombrus
Planktivore,Butterfish,Peprilus triacanthus
Planktivore,Northern sandlance,Ammodytes dubius
Zoopiscivore,Redfish,Sebastes
Zoopiscivore,Offshore hake,Merluccius albidus
Zoopiscivore,Red hake,Urophycis chuss
Zoopiscivore,Silver hake,Merluccius bilinearis
Medium benthivore,Blackbelly rosefish,Helicolenus dactylopterus
Medium benthivore,Fourspot flounder,Hippoglossina oblonga
Medium benthivore,Smooth skate,Malacoraja senta
Medium benthivore,Windowpane,Scophthalmus aquosus
Medium benthivore,Winter flounder,Pseudopleuronectes americanus
Medium benthivore,Witch flounder,Glyptocephalus cynoglossus
Medium benthivore,Yellowtail flounder,Limanda ferruginea
Large benthivore,American plaice,Hippoglossoides platessoides
Large benthivore,Haddock,Melanogrammus aeglefinus
Large benthivore,Little skate,Leucoraja erinacea
Large benthivore,Ocean pout,Zoarces americanus
Piscivore,Atlantic cod,Gadus morhua
Piscivore,Cusk,Brosme brosme
Piscivore,Pollock,Pollachius virens
Piscivore,Sea raven,Hemitripterus americanus
Piscivore,Spiny dogfish,Squalus acanthias
Piscivore,Thorny skate,Amblyraja radiata
Piscivore,White hake,Urophycis tenuis
Piscivore,Winter skate,Leucoraja ocellata
