ACCEPTED_SCIENT_NAME,FAO_E_COMMON_NAME,FAO_F_COMMON_NAME,spec,nrecords,CLASS_,ORDER_,FAMILY_,type
Hippoglossoides platessoides,American plaice,Plie canadienne,40,6023,Actinopterygii,Pleuronectiformes,Pleuronectidae,L
Melanogrammus aeglefinus,Haddock,Aiglefin,11,5827,Actinopterygii,Gadiformes,Gadidae,L
Gadus morhua,Atlantic cod,Morue franche,10,5451,Actinopterygii,Gadiformes,Gadidae,L
Merluccius bilinearis,Silver hake,Merlu argenté,14,4936,Actinopterygii,Gadiformes,Merlucciidae,L
Illex illecebrosus,Northern shortfin squid,Encornet rouge nordique,4511,4836,Cephalopoda,Teuthida,Ommastrephidae,L
Glyptocephalus cynoglossus,Witch flounder,Plie grise,41,4301,Actinopterygii,Pleuronectiformes,Pleuronectidae,L
Sebastes,Atlantic redfishes,Sébastes de l'Atlantique,23,4152,Actinopterygii,Scorpaeniformes,Scorpaenidae,L
Amblyraja radiata,Thorny skate,Raie épineuse,201,3937,Chondrichthyes,Rajiformes,Rajidae,L
Urophycis tenuis,White hake,Merluche blanche,12,3524,Actinopterygii,Gadiformes,Gadidae,L
Clupea harengus,Atlantic herring,Hareng de l'Atlantique,60,3487,Actinopterygii,Clupeiformes,Clupeidae,L
Myoxocephalus octodecemspinosus,Longhorn sculpin,Chaboisseau à dix-huit épines,300,3292,Actinopterygii,Scorpaeniformes,Cottidae,L
Limanda ferruginea,Yellowtail flounder,Limande à queue jaune,42,3233,Actinopterygii,Pleuronectiformes,Pleuronectidae,L
Pollachius virens,Pollock,Goberge,16,2787,Actinopterygii,Gadiformes,Gadidae,L
Urophycis chuss,Red hake,Merluche écureuil,13,2195,Actinopterygii,Gadiformes,Gadidae,L
Hemitripterus americanus,Sea raven,Hémitriptère atlantique,320,2126,Actinopterygii,Scorpaeniformes,Hemitripteridae,L
Squalus acanthias,Picked dogfish,Aiguillat commun,220,1985,Chondrichthyes,Squaliformes,Squalidae,L
Lophius americanus,Monkfish,Baudroie d'Amérique,400,1970,Actinopterygii,Lophiiformes,Lophiidae,L
Malacoraja senta,Smooth skate,Raie lisse,202,1773,Chondrichthyes,Rajiformes,Rajidae,L
Hippoglossus hippoglossus,Atlantic halibut,Flétan de l'Atlantique,30,1634,Actinopterygii,Pleuronectiformes,Pleuronectidae,L
Pseudopleuronectes americanus,Winter flounder,Limande-plie rouge,43,1632,Actinopterygii,Pleuronectiformes,Pleuronectidae,L
Homarus americanus,American lobster,Homard américain,2550,1623,Malacostraca,Decapoda,Nephropidae,S
